Id,SalePrice
1461,125822.59563067197
1462,151722.85921983465
1463,182759.38919638732
1464,187162.35632490498
1465,194542.88051045462
1466,183632.91639336705
1467,171188.24607041813
1468,177476.57620206734
1469,183120.48638879953
1470,130171.36146205121
1471,204469.78012991606
1472,100353.71814960288
1473,104131.03996880239
1474,151730.13591291558
1475,125452.52250535092
1476,334090.7031793986
1477,249895.80289004077
1478,302107.0341292286
1479,299390.7887583969
1480,387808.3218081638
1481,301005.2731289868
1482,206458.9599488005
1483,187621.88345601782
1484,178090.62208588968
1485,177645.89502732691
1486,199083.57844690065
1487,290825.60654192156
1488,239625.30010317205
1489,198311.40121633298
1490,217416.39413706097
1491,196420.96905561403
1492,104291.22994337045
1493,179745.4470986709
1494,285813.13145120506
1495,277958.99436426023
1496,236585.79179979273
1497,183144.34785882884
1498,161878.6320180844
1499,160766.18098851506
1500,160824.7275197408
1501,170887.69978819654
1502,164748.14792756923
1503,260322.39032538375
1504,218428.83160447708
1505,219351.5125330509
1506,183401.7879875464
1507,238294.65847258235
1508,191165.66507575725
1509,157786.64744154623
1510,148525.92548601425
1511,149011.69505803485
1512,170715.28171355985
1513,150098.37409601954
1514,151753.67404678
1515,183059.54004094814
1516,152952.1320568017
1517,150169.68271410646
1518,142483.2512728209
1519,221195.81515930936
1520,137892.22093509953
1521,139934.53443416255
1522,163692.7334286304
1523,118765.80342486799
1524,120556.35430764164
1525,127198.69857427425
1526,126869.6183053374
1527,113701.34628139717
1528,126218.48084025628
1529,140309.54612046198
1530,163499.86735161403
1531,134928.56015155377
1532,105596.14952303855
1533,138445.96561213638
1534,119982.95477816225
1535,149581.47657900755
1536,120741.53823811299
1537,99498.9718700656
1538,144862.21800592134
1539,178947.80429978762
1540,121566.38016305286
1541,139303.05215372358
1542,135062.41162860958
1543,176236.5928163565
1544,89785.55339327356
1545,106369.94144602893
1546,122685.70981998173
1547,133931.4893005402
1548,125614.85095558093
1549,112228.8360528041
1550,137312.7640743187
1551,120122.67829255432
1552,143977.37599912376
1553,135624.4717767092
1554,113697.83918849356
1555,169221.8688469697
1556,100287.36499130621
1557,119515.74500342565
1558,102543.25794368301
1559,115918.3315700633
1560,139058.11641092913
1561,147007.2566076766
1562,126827.63696736863
1563,123700.33222843202
1564,159848.1118358529
1565,155511.79969244348
1566,205823.17626335632
1567,95504.85800283236
1568,216316.03624921315
1569,154898.32543855545
1570,140294.30623893338
1571,127823.83757245995
1572,141152.75712973616
1573,229759.92726627114
